category_id,question_text,option_a,option_b,option_c,option_d,correct_answer,explanation,difficulty,marks
cmsahqudq000ebsk11ytbktxz,"The irrational number is",1,pi,22/7,-1,pi,Real Numbers,EASY,1
cmsahqudq000ebsk11ytbktxz,"If P and Q are non-empty sets and P ⊂ Q ⊂ U, then P ∩ Q =",P,Q,U,empty set,P,Set Theory,EASY,1
cmsahqudq000ebsk11ytbktxz,"A sentence which is not a Statement is","Elephant is a small animal","100 is a number","Hari is Nepali citizen",x > 2,x > 2,Logic,EASY,1
cmsahqudq000ebsk11ytbktxz,"If |x - 3| = 5, then x =","{-8, 2}","{8, -2}","{8, 2}","{-8, -2}","{8, -2}",Algebra,EASY,1
cmsahqudq000ebsk11ytbktxz,"If the graph of y = a^x contains the points (3, 64), then the base a is",4,3,64,2,4,Exponents,EASY,1
cmsahqudq000ebsk11ytbktxz,"If f(x) = x - 5 for x ∈ R, then f^-1(x) =",1/(x-5),1/(x+5),5/(y+x),x + 5,x + 5,Functions,EASY,1
cmsahqudq000ebsk11ytbktxz,"The period of the function f(x) = cos(2x + 5) is",pi,pi/2,2pi,pi/3,pi,Trigonometry,EASY,1
cmsahqudq000ebsk11ytbktxz,"If sin^-1(x) = cos^-1(x), then x =","-sqrt(2)","-1/sqrt(2)","1/sqrt(2)",sqrt(2),"1/sqrt(2)",Inverse Trigonometry,EASY,1
cmsahqudq000ebsk11ytbktxz,"The solution of sin^2(x) = 1/4 is","n*pi ± pi/6","n*pi ± pi/4","n*pi ± pi/3","n*pi ± pi/2","n*pi ± pi/6",Trigonometry,EASY,1
cmsahqudq000ebsk11ytbktxz,"If 3rd, 5th and 7th term of a G.P. are p, q, r respectively, then",p^2 = q^2 + r^2,p^2 = qr,pr = q^2,p + q + r = 0,pr = q^2,Geometric Progression,EASY,1
cmsahqudq000ebsk11ytbktxz,"The value of p for which 3p + 4, 6p - 2 and 2p + 7 are in A.P is",15/7,15,30,10,15/7,Arithmetic Progression,EASY,1
cmsahqudq000ebsk11ytbktxz,"If A = [a_ij], where a_ij = i + j, then 2 x 2 matrix A is","[[2, 3], [3, 4]]","[[2, 3], [4, 4]]","[[2, 3], [2, 4]]","[[2, 3], [3, 2]]","[[2, 3], [3, 4]]",Matrices,EASY,1
cmsahqudq000ebsk11ytbktxz,"The value of x for the determinant |x+1 3; 0 1| = 0 is",0,1,-1,-2,-1,Determinants,EASY,1
cmsahqudq000ebsk11ytbktxz,"The system of equation 2x + 3y = 5, 2x + 3y = 7 has","one solution","two solutions","many solutions","no solution","no solution",System of Equations,EASY,1
cmsahqudq000ebsk11ytbktxz,"If w is the cube root of unity of a complex number, then (1 - w)(1 - w^2) =",0,-2,3,w,3,Complex Numbers,EASY,1
cmsahqudq000ebsk11ytbktxz,"sqrt(-3) * sqrt(-5) =","-sqrt(15)",sqrt(15),i*sqrt(15),-i*sqrt(15),"-sqrt(15)",Complex Numbers,EASY,1
cmsahqudq000ebsk11ytbktxz,"A quadratic equation whose roots are 2, -3 is",x^2 + x + 6 = 0,x^2 - x + 6 = 0,x^2 + x - 6 = 0,x^2 - x - 5 = 0,x^2 + x - 6 = 0,Quadratic Equations,EASY,1
cmsahqudq000ebsk11ytbktxz,"The straight lines represented by 3x^2 + 2xy + ky^2 = 0 are perpendicular to each other if k =",-3,3,0,6,-3,Pair of Straight Lines,EASY,1
cmsahqudq000ebsk11ytbktxz,"Equation of tangent to the circle x^2 + y^2 = 5 at (2, 1) is",2x + y = 5,2x + y = 4,x + 2y = 5,2x - y = 5,2x + y = 5,Circles,EASY,1
cmsahqudq000ebsk11ytbktxz,"If lim (x->3) (x^3 - a^3)/(x - 3) = 27, then a =",9,-3,3,9,3,Limits,EASY,1
cmsahqudq000ebsk11ytbktxz,"If y = x^2/2 + p^2/x^2, then dy/dx at x = p is",2/p,p,1,0,0,Derivatives,EASY,1
cmsahqudq000ebsk11ytbktxz,"Integral of (3*sqrt(x) + sin(x) + 2*e^(2x)) dx =",2x^(3/2) - cos(x) + e^(2x),x^(3/2) - cos(x) + e^(2x),2x^(3/2) + cos(x) + e^(2x),2x^3 - cos(x) + 2e^(2x),2x^(3/2) - cos(x) + e^(2x),Integration,EASY,1
cmsahqudq000ebsk11ytbktxz,"Integral from 0 to 1 of 2x * e^(x^2 + 1) dx =",e^2 + e^1,e^2 - e^1,e^2,e^1,e^2 - e^1,Definite Integration,EASY,1
cmsahqudq000ebsk11ytbktxz,"Area bounded by the x-axis and the curve y = 3x^2, the lines x = 2 and x = 4 is",64,56,56/3,72,56,Area Under Curves,EASY,1
cmsahqudq000ebsk11ytbktxz,"The critical points for f(x) = x^4 - 6x^2 + 8x are","1, -2","1, 2","-1, 1","-1, -2","1, -2",Calculus,EASY,1
cmsahqudq000ebsk11ytbktxz,"The word 'permissible' is accented on its ... syllable.",1st,2nd,3rd,None of the above,2nd,Syllable Stress,EASY,1
cmsahqudq000ebsk11ytbktxz,"Which of the following word gets stress on the 2nd syllable?",perishes,incredible,incur,temerity,incredible,Syllable Stress,EASY,1
cmsahqudq000ebsk11ytbktxz,"I shall be glad ... your help in my business.",in,by,of,with,with,Prepositions,EASY,1
cmsahqudq000ebsk11ytbktxz,"An addicted person is the slave ... his habit.",to,for,on,by,to,Prepositions,EASY,1
cmsahqudq000ebsk11ytbktxz,"Give an appropriate synonym of the word 'Vendor'",pleasant,secret,promise,seller,seller,Vocabulary,EASY,1
